3.08567758e+14  9.55383964e+112 1.31005153e+127 
1.85140655e+18  1.06119129e-24  1.45513775e-10  
3.70281310e+18  1.03365249e-24  1.41737571e-10  
5.55421965e+18  1.02461892e-24  1.40498861e-10  
7.40562619e+18  1.02011644e-24  1.39881467e-10  
9.25703274e+18  1.01740813e-24  1.39510095e-10  
1.11084393e+19  1.01558960e-24  1.39260734e-10  
1.29598458e+19  1.01427521e-24  1.39080500e-10  
1.48112524e+19  1.01327276e-24  1.38943040e-10  
1.66626589e+19  1.01247570e-24  1.38833746e-10  
1.85140655e+19  1.01182025e-24  1.38743868e-10  
2.03654720e+19  1.01126585e-24  1.38667848e-10  
2.22168786e+19  1.01078551e-24  1.38601982e-10  
2.40682851e+19  1.01036055e-24  1.38543710e-10  
2.59196917e+19  1.00997764e-24  1.38491204e-10  
2.77710982e+19  1.00962702e-24  1.38443126e-10  
2.96225048e+19  1.00930136e-24  1.38398471e-10  
3.14739113e+19  1.00899508e-24  1.38356472e-10  
3.33253179e+19  1.00870382e-24  1.38316533e-10  
3.51767244e+19  1.00842415e-24  1.38278184e-10  
3.70281310e+19  1.00815333e-24  1.38241049e-10  
3.88795375e+19  1.00788915e-24  1.38204824e-10  
4.07309441e+19  1.00762979e-24  1.38169259e-10  
4.25823506e+19  1.00737375e-24  1.38134150e-10  
4.44337572e+19  1.00711979e-24  1.38099326e-10  
4.62851637e+19  1.00686686e-24  1.38064644e-10  
4.81365703e+19  1.00661408e-24  1.38029983e-10  
4.99879768e+19  1.00636070e-24  1.37995239e-10  
5.18393834e+19  1.00610608e-24  1.37960324e-10  
5.36907899e+19  1.00584967e-24  1.37925164e-10  
5.55421965e+19  1.00559097e-24  1.37889691e-10  
5.73936030e+19  1.00532959e-24  1.37853850e-10  
5.92450095e+19  1.00506516e-24  1.37817590e-10  
6.10964161e+19  1.00479737e-24  1.37780869e-10  
6.29478226e+19  1.00452592e-24  1.37743648e-10  
6.47992292e+19  1.00425059e-24  1.37705893e-10  
6.66506357e+19  1.00397115e-24  1.37667575e-10  
6.85020423e+19  1.00368740e-24  1.37628667e-10  
7.03534488e+19  1.00339918e-24  1.37589146e-10  
